AstroMenace gamedata size report
================================

Top-level directories/files:
36K	gamedata/glsl
412K	gamedata/gfx
1012K	gamedata/script
1.1M	gamedata/game
3.3M	gamedata/font
5.6M	gamedata/lang
6.9M	gamedata/loading
6.9M	gamedata/music
7.8M	gamedata/sfx
9.9M	gamedata/skybox
14M	gamedata/menu
52M	gamedata/models
109M	gamedata

Largest 120 files:
27.70 MiB	gamedata/models/models.pack
2.08 MiB	gamedata/menu/dialog768_600.tga
1.81 MiB	gamedata/music/menu.ogg
1.59 MiB	gamedata/menu/panel800_444_back.tga
1.50 MiB	gamedata/models/planet/m_class7.tga
1.50 MiB	gamedata/models/planet/d_class3.tga
1.50 MiB	gamedata/models/normalmap/q_class2_nm.tga
1.50 MiB	gamedata/models/normalmap/m_class7_nm.tga
1.50 MiB	gamedata/models/normalmap/d_class3_nm.tga
1.50 MiB	gamedata/loading/loading04.tga
1.50 MiB	gamedata/loading/loading03.tga
1.50 MiB	gamedata/loading/loading02.tga
1.50 MiB	gamedata/loading/loading01.tga
1.50 MiB	gamedata/music/game.ogg
1.49 MiB	gamedata/models/planet/q_class2.tga
1.47 MiB	gamedata/music/boss-loop.ogg
1.47 MiB	gamedata/models/normalmap/a_class4_nm.tga
1.42 MiB	gamedata/models/planet/a_class4.tga
1.33 MiB	gamedata/music/boss-intro.ogg
1.21 MiB	gamedata/menu/dialog512_512.tga
1.00 MiB	gamedata/models/spacebase/allalpha.tga
1.00 MiB	gamedata/models/planet/clouds.tga
0.91 MiB	gamedata/font/FreeSerifBold.otf
0.88 MiB	gamedata/menu/workshop_panel5.tga
0.78 MiB	gamedata/music/missionfailed.ogg
0.75 MiB	gamedata/skybox/2/skybox_top3.tga
0.75 MiB	gamedata/skybox/2/skybox_right1.tga
0.75 MiB	gamedata/skybox/2/skybox_left2.tga
0.75 MiB	gamedata/skybox/2/skybox_front5.tga
0.75 MiB	gamedata/skybox/2/skybox_bottom4.tga
0.75 MiB	gamedata/skybox/2/skybox_back6.tga
